sample,accession
S008,Q9C1HH5V
S008,P0AJEPEE
S008,O011Q7UU
S008,Q9V7LN2I
S008,P0QS3D62
S008,P0ILDZMJ
S008,O0W6AHF7
S008,O0BNN0ME
S008,P0IXDU1I
S008,P0BXK5BV
S008,O0B5M9JD
S009,Q9ZMF8MF
S009,O0D4V308
S009,P0CIYHE4
S009,O0Q0Y9DZ
S009,P02DGTFL
S009,P0IOYKLE
S009,P01WJ0T1
S009,P0FZNBQM
S009,A0ANUJZA8
S009,Q9G8SBIH
S009,O0C3O18B
S009,Q9P08J38
S009,P093KMK8
S009,A0A5UQPGD
S009,P07R3OCD
S009,Q9X63CFT
S009,O0PV60VB
S009,A0A1GSPK1
S009,O08XF7KR
S009,O08W5RTE
S009,P0NFTU2K
S009,A0ALPU0DS
S009,P00GET87
S009,Q9P84DY8
S009,Q92VJ998
S009,O0QNVQHC
S009,A0AVULEM1
S009,P0SLQC3E
S009,P0CX7LXZ
S009,P0TD44KK
S009,P0ILDZMJ
S009,Q9B7R314
S009,O0W6AHF7
S009,P0CSS9TY
S009,A0AMMX3Y4
S009,P0XLVPYW
S010,A0A9NT3WX
S010,O0Q0Y9DZ
S010,P02DGTFL
S010,P0IOYKLE
S010,A0AQ99CHQ
S010,P0HID250
S010,P0FZNBQM
S010,Q9XA11D1
S010,O0EQTUL2
S010,O03T60RQ
S010,Q94J1RI2
S010,O0L1N13Q
S010,A0AQ0B8IE
S010,A0A2UBTXE
S010,P0XNTM99
S010,Q9J9TZE5
S010,A0A5UQPGD
S010,O0PV60VB
S010,P0ORXO1C
S010,P03KKV95
S010,O0Z3NX3J
S010,O08W5RTE
S010,Q9W790PG
S010,P00GET87
S010,P0DOJENQ
S010,Q9NN8ZTJ
S010,Q9P84DY8
S010,Q92VJ998
S010,O0QNVQHC
S010,O0ZP6LFI
S010,A0ARPETI9
S010,O011Q7UU
S010,P0FCPKJD
S010,P0SLQC3E
S010,O0W6AHF7
S010,O0EKKBP3
S010,P0IXDU1I
S010,A0AMMX3Y4
S010,Q93C1QKC
S010,Q95LLO34
S010,Q94YPEIX
S011,A0AVBDIV9
S011,A0ANQ4FMR
S011,O0J2QP89
S011,Q9755NF8
S011,P0VZHWJ5
S011,A0AE8YFBX
S011,P07E8G8Q
S011,Q9NCXLLH
S011,O0XN0GUZ
S011,P0SWM31T
S011,O03T60RQ
S011,A0AZIM6CJ
S011,O07HV3IT
S011,O04GH2MR
S011,O0XR2DHP
S011,A0A5UQPGD
S011,A0A1GSPK1
S011,P03KKV95
S011,Q9QRL1NU
S011,Q9C5WI6J
S011,O0361I2O
S011,P06HC36T
S011,O0EBB9EP
S011,P0CJ883F
S011,Q92VJ998
S011,A0AF1BCP1
S011,A0AH811KH
S011,O0UZPEAU
S011,Q9V1XG15
S011,A0AWSQT2C
S011,A0AIPPSFX
S011,Q9V7LN2I
S011,O0832EJ4
S011,P0ILDZMJ
S011,O0W6AHF7
S011,Q93C1QKC
S012,A0ANQ4FMR
S012,Q9Y41IBU
S012,O06QICA9
S012,Q923GDP1
S012,O0FK8UTU
S012,A0AWPVS7N
S012,A0AQ99CHQ
S012,A0A7EEDTR
S012,Q97IF2G0
S012,A0ADP0LV6
S012,O0XN0GUZ
S012,O0YS280F
S012,Q93FB9WE
S012,O0R7KO60
S012,A0AXEQBNN
S012,A0A18HAFI
S012,P0APRPN3
S012,P05IQVNB
S012,P0UC8D1N
S012,Q9ZLAOIH
S012,O049ITN6
S012,Q95J2O76
S012,Q99IN4OU
S012,A0ASQ0OXJ
S012,A0AQ8MYXV
S012,P0NFTU2K
S012,Q9C89K8Q
S012,A0AQC1IYZ
S012,P02D5EMP
S012,O0SP2EX9
S012,A0A3DD039
S012,Q94MUEKO
S012,A0ARPETI9
S012,P0033IFM
S012,Q9ZBNZ8S
S012,O0832EJ4
S012,P0BXK5BV
S012,A0AYOS0FB
S013,Q9Y41IBU
S013,O0DBDW21
S013,Q9C58DRE
S013,Q971YZOX
S013,O06QICA9
S013,Q923GDP1
S013,A0AXTAD1P
S013,A0AE8YFBX
S013,O0XN0GUZ
S013,Q9NFHOL3
S013,O0L1N13Q
S013,P07R3OCD
S013,P0ORXO1C
S013,O0OGN1WD
S013,Q99IN4OU
S013,O0361I2O
S013,O037DIA9
S013,Q9NN8ZTJ
S013,Q9P5O3OG
S013,Q9UOFWB7
S013,O0VOHSMH
S013,P0YVSLHD
S013,P02CWTGW
S013,Q9V1XG15
S013,A0AWSQT2C
S013,O06UGVSD
S013,A0AIPPSFX
S013,A0ALUNJ4J
S013,O0832EJ4
S013,O0EKKBP3
S013,A0AMMX3Y4
S013,Q95LLO34
S013,P09RR7SF
S014,O0JH75L5
S014,Q9Q85JSL
S014,Q9C58DRE
S014,Q923GDP1
S014,P0HID250
S014,Q93FB9WE
S014,O0OWGZRP
S014,A0A2UBTXE
S014,O0Q3VLIF
S014,P05IQVNB
S014,P0MQLIZU
S014,P07R3OCD
S014,Q91N6KV1
S014,O0OGN1WD
S014,Q9JEK5RB
S014,Q95J2O76
S014,A0AQ8MYXV
S014,A0APY6B2S
S014,P09K9XJD
S014,Q9WYZX4G
S014,P03J3R3V
S014,Q9NN8ZTJ
S014,O0SP2EX9
S014,P0PXNF7E
S014,A0A3DD039
S014,P0033IFM
S014,O06UGVSD
S014,A0AXPNNGN
S014,Q9ZBNZ8S
S014,P0CSS9TY
S014,Q95LLO34
S014,P09RR7SF
S014,O0CV3TLF
S014,P0XLVPYW
S014,Q94YPEIX
S015,Q9C58DRE
S015,P0VZHWJ5
S015,P0HID250
S015,P0KC1MS8
S015,Q9G8SBIH
S015,O03T60RQ
S015,O0L1N13Q
S015,P0ORXO1C
S015,O08XF7KR
S015,O08E8LD2
S015,O08W5RTE
S015,Q9XVA2II
S015,O0QNVQHC
S015,A0AVULEM1
S015,P0YVSLHD
S015,A0AIPPSFX
S015,P0CX7LXZ
S015,O0II826M
S015,Q9B7R314
S015,P0IXDU1I
S015,A0AMMX3Y4
S015,P0XLVPYW
S016,A0AXTAD1P
S016,P0KC1MS8
S016,O0OWGZRP
S016,Q9G8SBIH
S016,A0A2UBTXE
S016,P07R3OCD
S016,P0ORXO1C
S016,O08E8LD2
S016,O0X4W7KX
S016,Q9P84DY8
S016,Q92VJ998
S016,P0WVZNVS
S016,O0493WXB
S016,Q9UOFWB7
S016,A0AF1BCP1
S016,P0YVSLHD
S016,P02CWTGW
S016,O06UGVSD
S016,A0AXPNNGN
S016,O0EKKBP3
S016,Q9KAMUGF
S016,Q94YPEIX
S017,A0AVBDIV9
S017,A0A9NT3WX
S017,O05XFF08
S017,A0AYTJXE1
S017,Q9Q85JSL
S017,Q923GDP1
S017,P02DGTFL
S017,P0Q5C34G
S017,A0A4CC5OP
S017,P0IOYKLE
S017,P064DPJA
S017,Q9PBN78C
S017,A0AG72OYP
S017,P07E8G8Q
S017,A0AKH2VL2
S017,O03T60RQ
S017,A0AXEQBNN
S017,P0XNTM99
S017,A0A08YG0R
S017,P0UC8D1N
S017,Q9X63CFT
S017,O0PV60VB
S017,A0A1GSPK1
S017,A0AQ8MYXV
S017,O04HNRIW
S017,P09K9XJD
S017,P0CJ883F
S017,P0AJEPEE
S017,P0Q8CROG
S017,O0ZP6LFI
S017,A0AVULEM1
S017,A0A8VMUH4
S017,O0UZPEAU
S017,P0033IFM
S017,O011Q7UU
S017,P0FCPKJD
S017,A0AIPPSFX
S017,P08RIECG
S017,A0AX5WVFL
S017,Q9ZBNZ8S
S017,P0EN606Y
S017,O0CV3TLF
S018,P0CIYHE4
S018,A0AQ99CHQ
S018,P0VZHWJ5
S018,O0R7KO60
S018,A0A18HAFI
S018,A0A2FLU7Y
S018,Q9P08J38
S018,P0XNTM99
S018,P0XFGCA2
S018,O0KIZZQO
S018,A0A1GSPK1
S018,O0Z3NX3J
S018,A0ASQ0OXJ
S018,A0APY6B2S
S018,Q9C5WI6J
S018,O0361I2O
S018,P06HC36T
S018,O0EBB9EP
S018,Q9XVA2II
S018,Q9C1HH5V
S018,Q92VJ998
S018,P02D5EMP
S018,Q9P5O3OG
S018,A0A3DD039
S018,P0SLQC3E
S018,A0AWSQT2C
S018,A0ALUNJ4J
S018,Q9V7LN2I
S018,O0832EJ4
S018,P0ILDZMJ
S018,O0EKKBP3
S018,O0BNN0ME
S018,O0B5M9JD
S019,Q9ZMF8MF
S019,O0D4V308
S019,Q9C58DRE
S019,Q9VAZCCC
S019,O0Q0Y9DZ
S019,Q9OR56FA
S019,A0A4CC5OP
S019,A0AQ99CHQ
S019,A0AE8YFBX
S019,A0AG72OYP
S019,P0FZNBQM
S019,A0ADP0LV6
S019,P0SWM31T
S019,Q9XA11D1
S019,O0EQTUL2
S019,Q9NFHOL3
S019,Q9RJRNYZ
S019,A0A2UBTXE
S019,A0A5UQPGD
S019,P07R3OCD
S019,Q9X63CFT
S019,O0PV60VB
S019,A0AIY4VAR
S019,Q9JEK5RB
S019,Q99IN4OU
S019,Q9W790PG
S019,Q9C5WI6J
S019,O037DIA9
S019,Q9P84DY8
S019,P0WVZNVS
S019,A0A3DD039
S019,Q9NQFLLF
S019,P0C5BA7U
S019,P02CWTGW
S019,Q9V1XG15
S019,P0SLQC3E
S019,O06UGVSD
S019,A0AXPNNGN
S019,A0AX5WVFL
S019,O0W6AHF7
S019,O0EKKBP3
S019,Q93C1QKC
S019,Q95LLO34
S019,P0XLVPYW
S019,P0NUVY8X
S020,Q9ZMF8MF
S020,O0D4V308
S020,A0A9NT3WX
S020,A0AYTJXE1
S020,A0AVREN9T
S020,Q9VAZCCC
S020,O0Q0Y9DZ
S020,Q9OR56FA
S020,A0A4CC5OP
S020,Q9PBN78C
S020,Q97IF2G0
S020,P0SWM31T
S020,O0OWGZRP
S020,Q9G8SBIH
S020,A0A2UBTXE
S020,O0XR2DHP
S020,P0XNTM99
S020,Q9J9TZE5
S020,A0A5UQPGD
S020,Q9X63CFT
S020,A0A1GSPK1
S020,O0OGN1WD
S020,O08E8LD2
S020,Q9W790PG
S020,Q9C5WI6J
S020,P0DOJENQ
S020,Q9NN8ZTJ
S020,Q9NQFLLF
S020,A0ARPETI9
S020,P02CWTGW
S020,O011Q7UU
S020,P0CX7LXZ
S020,A0AXPNNGN
S020,O0II826M
S020,P0TD44KK
S020,P07OONNF
S020,O0W6AHF7
S020,O0EKKBP3
S020,P0CSS9TY
S020,A0AMMX3Y4
S020,Q95LLO34
S021,Q9ZZPQKA
S021,A0ABR7TC6
S021,P064DPJA
S021,O0YUHZ1K
S021,Q9FUK9E0
S021,Q9ZLAOIH
S021,O08E8LD2
S021,A0ASQ0OXJ
S021,P0NFTU2K
S021,O04HNRIW
S021,O0SP2EX9
S021,Q94MUEKO
S021,P08RIECG
S021,A0AX5WVFL
S021,A0AD6VASP
S022,Q9ZZPQKA
S022,Q9ZBIKCO
S022,A0AVREN9T
S022,O06QICA9
S022,P0Q5C34G
S022,O0J2QP89
S022,Q9NCXLLH
S022,O0XN0GUZ
S022,A0AZIM6CJ
S022,O0R7KO60
S022,O04GH2MR
S022,P0MQLIZU
S022,P0XFGCA2
S022,P02WX7P8
S022,P0PQKOJ8
S022,Q99IN4OU
S022,A0AQC1IYZ
S022,Q9XVA2II
S022,O0VOHSMH
S022,P0C5BA7U
S022,A0ALUNJ4J
S022,Q9V7LN2I
S022,P0QS3D62
S022,O0EKKBP3
S022,O0B5M9JD
S022,A0AYOS0FB
S023,A0AXTAD1P
S023,Q9RJRNYZ
S023,Q9P08J38
S023,A0ASGIOTP
S023,P0MQLIZU
S023,P07R3OCD
S023,O08W5RTE
S023,Q9NN8ZTJ
S023,O0X4W7KX
S023,Q92VJ998
S023,O0ZP6LFI
S023,O0493WXB
S023,P02CWTGW
S023,P0SLQC3E
S023,P0N1YBWV
S023,P0CX7LXZ
S023,O0II826M
S023,Q9B7R314
S023,Q9KAMUGF
S023,P0CSS9TY
S023,P0IXDU1I
S023,P09RR7SF
S023,A0AYOS0FB
S024,A0AVBDIV9
S024,Q9ERTJ51
S024,P02DGTFL
S024,A0AQ99CHQ
S024,P0VZHWJ5
S024,Q9PBN78C
S024,P0FZNBQM
S024,O0M35IXZ
S024,P0SWM31T
S024,P0XFGCA2
S024,A0AIY4VAR
S024,Q9C5WI6J
S024,O04HNRIW
S024,P0CJ883F
S024,Q92VJ998
S024,P0Q8CROG
S024,O0UZPEAU
S024,O0W6AHF7
S024,O0BNN0ME
S024,P0IXDU1I
S024,Q93C1QKC
S024,P0EN606Y
S025,P02DGTFL
S025,O0FK8UTU
S025,Q9PBN78C
S025,O0YS280F
S025,P0SWM31T
S025,O03T60RQ
S025,A0AXEQBNN
S025,Q9P08J38
S025,P0XNTM99
S025,P093KMK8
S025,A0AIY4VAR
S025,A0AQ8MYXV
S025,Q9W790PG
S025,A0APY6B2S
S025,Q92VJ998
S025,P02D5EMP
S025,P0AJEPEE
S025,Q9NQFLLF
S025,P0SLQC3E
S025,P0YUP126
S025,P0ILDZMJ
S025,P0IXDU1I
S025,Q95LLO34
S026,O0JH75L5
S026,A0ANVQJTA
S026,Q923GDP1
S026,A0ABR7TC6
S026,P064DPJA
S026,P05IQVNB
S026,Q91N6KV1
S026,Q9ZLAOIH
S026,Q95J2O76
S026,Q9QJJA2S
S026,Q9C89K8Q
S026,O04HNRIW
S026,P09K9XJD
S026,Q9WYZX4G
S026,O0SP2EX9
S026,P0PXNF7E
S026,A0A3DD039
S026,A0AVULEM1
S026,Q92W37DG
S026,P0FCPKJD
S027,Q9ZMF8MF
S027,A0AVREN9T
S027,Q9C58DRE
S027,Q971YZOX
S027,Q9OR56FA
S027,P0VZHWJ5
S027,P01WJ0T1
S027,Q9PBN78C
S027,P0HID250
S027,O0M35IXZ
S027,A0ANUJZA8
S027,P0SWM31T
S027,O0OWGZRP
S027,Q9RJRNYZ
S027,O0XR2DHP
S027,P0XNTM99
S027,A0A08YG0R
S027,A0A5UQPGD
S027,A0AIY4VAR
S027,P0ORXO1C
S027,O08E8LD2
S027,P09K9XJD
S027,P00GET87
S027,P0DOJENQ
S027,P06HC36T
S027,Q9P84DY8
S027,P0CJ883F
S027,P0WVZNVS
S027,A0A8VMUH4
S027,O0493WXB
S027,Q9UOFWB7
S027,Q9NQFLLF
S027,O0UZPEAU
S027,P0SLQC3E
S027,P0N1YBWV
S027,A0AXPNNGN
S027,P08RIECG
S027,A0AX5WVFL
S027,O0EKKBP3
S027,O0BNN0ME
S027,P0IXDU1I
S027,Q93C1QKC
S027,P0EN606Y
S027,P0NUVY8X
S028,A0AAJI0Y8
S028,Q9Y41IBU
S028,A0A5KXVFK
S028,Q9C58DRE
S028,P0Q5C34G
S028,A0AWPVS7N
S028,A0A7EEDTR
S028,A0AE8YFBX
S028,O0XN0GUZ
S028,A0AZIM6CJ
S028,O0R7KO60
S028,Q9479T6B
S028,Q95J2O76
S028,O0Z3NX3J
S028,A0AQC1IYZ
S028,O0EBB9EP
S028,Q9C1HH5V
S028,A0AWSQT2C
S028,P0CX7LXZ
S028,P0QS3D62
S028,P09RR7SF
S029,Q9ZMF8MF
S029,O0D4V308
S029,Q9ZBIKCO
S029,A0ANQ4FMR
S029,A0A5KXVFK
S029,Q971YZOX
S029,O06QICA9
S029,O0J2QP89
S029,A0AWPVS7N
S029,A0AE8YFBX
S029,O0XN0GUZ
S029,P0SWM31T
S029,O0OWGZRP
S029,Q9G8SBIH
S029,A0A18HAFI
S029,P0APRPN3
S029,O04GH2MR
S029,Q9FUK9E0
S029,P0PQKOJ8
S029,O0OGN1WD
S029,O0Z3NX3J
S029,O08E8LD2
S029,P00GET87
S029,O0X4W7KX
S029,P02D5EMP
S029,O0QNVQHC
S029,P0BJ17ML
S029,Q9UOFWB7
S029,O0VOHSMH
S029,P0YVSLHD
S029,Q9V1XG15
S029,A0AWSQT2C
S029,P0N1YBWV
S029,P0CX7LXZ
S029,O0II826M
S029,P0QS3D62
S029,A0AMMX3Y4
S029,A0AYOS0FB
S029,Q94YPEIX
S030,Q9ZZPQKA
S030,P00PVN9I
S030,Q9Q85JSL
S030,Q9ERTJ51
S030,P0Q5C34G
S030,P064DPJA
S030,A0AE8YFBX
S030,A0AXEQBNN
S030,P0UC8D1N
S030,P0PQKOJ8
S030,O0DJE15A
S030,A0ASQ0OXJ
S030,A0AQ8MYXV
S030,P03J3R3V
S030,Q94MUEKO
S030,O0VOHSMH
S030,Q9POC50O
S030,A0AWSQT2C
S030,O0D6MZSL
S030,P08RIECG
S030,O0CV3TLF
S031,A0AAJI0Y8
S031,Q9ZBIKCO
S031,A0AVG0FN9
S031,A0A5KXVFK
S031,A0AXTAD1P
S031,A0AZIM6CJ
S031,O0R7KO60
S031,A0A2FLU7Y
S031,P0APRPN3
S031,O04GH2MR
S031,Q9FUK9E0
S031,P0ORXO1C
S031,P03KKV95
S031,Q9QRL1NU
S031,Q99IN4OU
S031,P0NFTU2K
S031,O0361I2O
S031,Q9C1HH5V
S031,P02D5EMP
S031,O0ZP6LFI
S031,O0VOHSMH
S031,Q9POC50O
S031,P0033IFM
S031,A0AWSQT2C
S031,Q9V7LN2I
S031,P0QS3D62
S031,A0AYOS0FB
S032,A0AAJI0Y8
S032,A0AVBDIV9
S032,O05XFF08
S032,A0ANVQJTA
S032,Q9Q85JSL
S032,P0CIYHE4
S032,A0A4CC5OP
S032,Q9PBN78C
S032,P0SWM31T
S032,Q9XA11D1
S032,Q9G8SBIH
S032,O0C3O18B
S032,A0A2FLU7Y
S032,O07HV3IT
S032,O0Q3VLIF
S032,P0XNTM99
S032,Q91N6KV1
S032,P0UC8D1N
S032,O0PV60VB
S032,A0AIY4VAR
S032,O08QOLDK
S032,O0DJE15A
S032,A0APY6B2S
S032,Q9C5WI6J
S032,P09K9XJD
S032,P0CJ883F
S032,Q92VJ998
S032,P0AJEPEE
S032,P0Q8CROG
S032,A0A8VMUH4
S032,Q94MUEKO
S032,O0UZPEAU
S032,Q92W37DG
S032,Q9POC50O
S032,O011Q7UU
S032,P0SLQC3E
S032,P08RIECG
S032,O0BNN0ME
S032,Q93C1QKC
S032,O0CV3TLF
S032,A0AYOS0FB
S033,Q971YZOX
S033,O06QICA9
S033,O0Q0Y9DZ
S033,Q9755NF8
S033,P01WJ0T1
S033,O0OWGZRP
S033,O0L1N13Q
S033,A0AQ0B8IE
S033,A0ASGIOTP
S033,Q9J9TZE5
S033,P07R3OCD
S033,O0PV60VB
S033,O08E8LD2
S033,O08W5RTE
S033,Q9C89K8Q
S033,P0DOJENQ
S033,Q9NN8ZTJ
S033,P0BJ17ML
S033,P02CWTGW
S033,P0FCPKJD
S033,P0N1YBWV
S033,P0CX7LXZ
S033,A0AXPNNGN
S033,P07OONNF
S033,P09RR7SF
S033,Q94YPEIX
S034,O0D4V308
S034,A0ANQ4FMR
S034,Q9C58DRE
S034,O0Q0Y9DZ
S034,A0AXTAD1P
S034,A0ABR7TC6
S034,Q9755NF8
S034,P0W9XA3T
S034,P07E8G8Q
S034,A0ANUJZA8
S034,A0AKH2VL2
S034,O0YS280F
S034,Q94J1RI2
S034,Q9NFHOL3
S034,Q9RJRNYZ
S034,O0Q3VLIF
S034,P0ORXO1C
S034,O0DJE15A
S034,Q9ZLAOIH
S034,O08E8LD2
S034,A0ASQ0OXJ
S034,Q9C89K8Q
S034,P03J3R3V
S034,O0ZP6LFI
S034,P0PXNF7E
S034,A0AVULEM1
S034,P0BJ17ML
S034,A0AF1BCP1
S034,Q9POC50O
S034,P0033IFM
S034,O06UGVSD
S034,A0AIPPSFX
S034,P08RIECG
S034,O0W6AHF7
S034,P0CSS9TY
S034,P0BXK5BV
S035,Q9ZMF8MF
S035,Q971YZOX
S035,O0Q0Y9DZ
S035,A0AXTAD1P
S035,Q9755NF8
S035,P0W9XA3T
S035,P0HID250
S035,P07E8G8Q
S035,A0ANUJZA8
S035,O0OWGZRP
S035,O0EQTUL2
S035,P0MQLIZU
S035,Q9J9TZE5
S035,P07R3OCD
S035,Q9C5WI6J
S035,O0361I2O
S035,P00GET87
S035,P0DOJENQ
S035,O037DIA9
S035,P06HC36T
S035,O0X4W7KX
S035,Q9XVA2II
S035,O0ZP6LFI
S035,Q9UOFWB7
S035,A0AIPPSFX
S035,P0N1YBWV
S035,O0II826M
S035,P0ILDZMJ
S035,O0EKKBP3
S035,Q95LLO34
S035,O0B5M9JD
S036,Q9ZBIKCO
S036,A0AVG0FN9
S036,O0JH75L5
S036,Q9Q85JSL
S036,A0A5KXVFK
S036,Q9ERTJ51
S036,Q923GDP1
S036,O0FK8UTU
S036,P0W9XA3T
S036,A0AG72OYP
S036,P0KC1MS8
S036,P0SYLZTM
S036,O0XN0GUZ
S036,O0YS280F
S036,O0OWGZRP
S036,Q9XA11D1
S036,Q9RJRNYZ
S036,O0YUHZ1K
S036,A0A2FLU7Y
S036,O0Q3VLIF
S036,P0UC8D1N
S036,P03KKV95
S036,Q9QRL1NU
S036,Q99IN4OU
S036,A0ASQ0OXJ
S036,A0AQ8MYXV
S036,Q9C5WI6J
S036,P02D5EMP
S036,P0BJ17ML
S036,Q92W37DG
S036,P09RR7SF
S036,A0AYOS0FB
S037,Q9ZBIKCO
S037,P00PVN9I
S037,A0AWPVS7N
S037,P0KC1MS8
S037,A0AZIM6CJ
S037,Q9NFHOL3
S037,O0R7KO60
S037,P0APRPN3
S037,Q9FUK9E0
S037,P0XFGCA2
