src_idx,dst_idx,src_accession,dst_accession,pmi_weight
23,3,Q9VAZCCC,Q9ZMF8MF,1.2039728
3,30,Q9ZMF8MF,Q9OR56FA,1.2039728
30,3,Q9OR56FA,Q9ZMF8MF,1.2039728
3,76,Q9ZMF8MF,A0AQ0B8IE,1.2039728
76,3,A0AQ0B8IE,Q9ZMF8MF,1.2039728
3,154,Q9ZMF8MF,P0WVZNVS,1.2039728
154,3,P0WVZNVS,Q9ZMF8MF,1.2039728
3,165,Q9ZMF8MF,Q9NQFLLF,1.2039728
165,3,Q9NQFLLF,Q9ZMF8MF,1.2039728
3,185,Q9ZMF8MF,P0N1YBWV,1.2039728
185,3,P0N1YBWV,Q9ZMF8MF,1.2039728
3,189,Q9ZMF8MF,A0AXPNNGN,1.2039728
189,3,A0AXPNNGN,Q9ZMF8MF,1.2039728
3,210,Q9ZMF8MF,Q95LLO34,1.2039728
210,3,Q95LLO34,Q9ZMF8MF,1.2039728
3,94,Q9ZMF8MF,A0A5UQPGD,1.2039728
94,3,A0A5UQPGD,Q9ZMF8MF,1.2039728
3,4,Q9ZMF8MF,O0D4V308,1.2039728
4,3,O0D4V308,Q9ZMF8MF,1.2039728
3,64,Q9ZMF8MF,Q9G8SBIH,1.0861897
64,3,Q9G8SBIH,Q9ZMF8MF,1.0861897
3,138,Q9ZMF8MF,P0DOJENQ,1.0861897
138,3,P0DOJENQ,Q9ZMF8MF,1.0861897
3,65,Q9ZMF8MF,O0EQTUL2,1.0498221
65,3,O0EQTUL2,Q9ZMF8MF,1.0498221
4,23,O0D4V308,Q9VAZCCC,1.3217559
23,4,Q9VAZCCC,O0D4V308,1.3217559
4,54,O0D4V308,A0ANUJZA8,1.2039728
54,4,A0ANUJZA8,O0D4V308,1.2039728
4,196,O0D4V308,P0TD44KK,1.2039728
196,4,P0TD44KK,O0D4V308,1.2039728
4,183,O0D4V308,O0D6MZSL,1.0986123
183,4,O0D6MZSL,O0D4V308,1.0986123
4,7,O0D4V308,A0ANQ4FMR,1.0498221
7,4,A0ANQ4FMR,O0D4V308,1.0498221
4,93,O0D4V308,Q9J9TZE5,1.0498221
93,4,Q9J9TZE5,O0D4V308,1.0498221
4,215,O0D4V308,P0XLVPYW,1.0498221
215,4,P0XLVPYW,O0D4V308,1.0498221
4,64,O0D4V308,Q9G8SBIH,1.0216513
64,4,Q9G8SBIH,O0D4V308,1.0216513
4,157,O0D4V308,P0PXNF7E,0.91629076
157,4,P0PXNF7E,O0D4V308,0.91629076
4,30,O0D4V308,Q9OR56FA,0.91629076
30,4,Q9OR56FA,O0D4V308,0.91629076
4,166,O0D4V308,A0AF1BCP1,0.91629076
166,4,A0AF1BCP1,O0D4V308,0.91629076
4,200,O0D4V308,Q9B7R314,0.91629076
200,4,Q9B7R314,O0D4V308,0.91629076
4,110,O0D4V308,O0OGN1WD,0.91629076
110,4,O0OGN1WD,O0D4V308,0.91629076
4,143,O0D4V308,O0X4W7KX,0.91629076
143,4,O0X4W7KX,O0D4V308,0.91629076
5,15,A0A9NT3WX,A0AYTJXE1,1.974081
15,5,A0AYTJXE1,A0A9NT3WX,1.974081
5,178,A0A9NT3WX,O011Q7UU,1.9252908
178,5,O011Q7UU,A0A9NT3WX,1.9252908
5,23,A0A9NT3WX,Q9VAZCCC,1.7917595
23,5,Q9VAZCCC,A0A9NT3WX,1.7917595
5,165,A0A9NT3WX,Q9NQFLLF,1.7917595
165,5,Q9NQFLLF,A0A9NT3WX,1.7917595
5,124,A0A9NT3WX,Q9W790PG,1.6739764
124,5,Q9W790PG,A0A9NT3WX,1.6739764
5,27,A0A9NT3WX,P02DGTFL,1.5040774
27,5,P02DGTFL,A0A9NT3WX,1.5040774
5,36,A0A9NT3WX,P0IOYKLE,1.5040774
36,5,P0IOYKLE,A0A9NT3WX,1.5040774
5,102,A0A9NT3WX,Q9X63CFT,1.5040774
102,5,Q9X63CFT,A0A9NT3WX,1.5040774
5,91,A0A9NT3WX,A0A08YG0R,1.3862944
91,5,A0A08YG0R,A0A9NT3WX,1.3862944
5,198,A0A9NT3WX,P07OONNF,1.3862944
198,5,P07OONNF,A0A9NT3WX,1.3862944
5,106,A0A9NT3WX,A0A1GSPK1,1.3062516
106,5,A0A1GSPK1,A0A9NT3WX,1.3062516
5,93,A0A9NT3WX,Q9J9TZE5,1.2321436
93,5,Q9J9TZE5,A0A9NT3WX,1.2321436
5,159,A0A9NT3WX,A0AVULEM1,1.2321436
159,5,A0AVULEM1,A0A9NT3WX,1.2321436
5,58,A0A9NT3WX,A0AKH2VL2,1.0986123
58,5,A0AKH2VL2,A0A9NT3WX,1.0986123
5,73,A0A9NT3WX,Q9479T6B,1.0986123
73,5,Q9479T6B,A0A9NT3WX,1.0986123
6,8,Q9ZBIKCO,A0AVG0FN9,1.7917595
8,6,A0AVG0FN9,Q9ZBIKCO,1.7917595
6,31,Q9ZBIKCO,O0J2QP89,1.3862944
31,6,O0J2QP89,Q9ZBIKCO,1.3862944
6,86,Q9ZBIKCO,O04GH2MR,1.3862944
86,6,O04GH2MR,Q9ZBIKCO,1.3862944
6,103,Q9ZBIKCO,P0PQKOJ8,1.3862944
103,6,P0PQKOJ8,Q9ZBIKCO,1.3862944
6,96,Q9ZBIKCO,Q9FUK9E0,1.3862944
96,6,Q9FUK9E0,Q9ZBIKCO,1.3862944
6,50,Q9ZBIKCO,O0M35IXZ,1.2809339
50,6,O0M35IXZ,Q9ZBIKCO,1.2809339
6,211,Q9ZBIKCO,P0BXK5BV,1.2809339
211,6,P0BXK5BV,Q9ZBIKCO,1.2809339
6,17,Q9ZBIKCO,A0A5KXVFK,1.2321436
17,6,A0A5KXVFK,Q9ZBIKCO,1.2321436
6,197,Q9ZBIKCO,P0QS3D62,1.1856236
197,6,P0QS3D62,Q9ZBIKCO,1.1856236
6,73,Q9ZBIKCO,Q9479T6B,1.0986123
73,6,Q9479T6B,Q9ZBIKCO,1.0986123
0,6,A0AAJI0Y8,Q9ZBIKCO,1.0986123
6,0,Q9ZBIKCO,A0AAJI0Y8,1.0986123
6,68,Q9ZBIKCO,A0AZIM6CJ,1.0986123
68,6,A0AZIM6CJ,Q9ZBIKCO,1.0986123
6,116,Q9ZBIKCO,P03KKV95,1.0986123
116,6,P03KKV95,Q9ZBIKCO,1.0986123
6,147,Q9ZBIKCO,Q9C1HH5V,1.0986123
147,6,Q9C1HH5V,Q9ZBIKCO,1.0986123
6,22,Q9ZBIKCO,O06QICA9,1.0986123
22,6,O06QICA9,Q9ZBIKCO,1.0986123
7,58,A0ANQ4FMR,A0AKH2VL2,1.4552872
58,7,A0AKH2VL2,A0ANQ4FMR,1.4552872
7,157,A0ANQ4FMR,P0PXNF7E,1.4552872
157,7,P0PXNF7E,A0ANQ4FMR,1.4552872
7,114,A0ANQ4FMR,O049ITN6,1.4552872
114,7,O049ITN6,A0ANQ4FMR,1.4552872
7,166,A0ANQ4FMR,A0AF1BCP1,1.4552872
166,7,A0AF1BCP1,A0ANQ4FMR,1.4552872
7,59,A0ANQ4FMR,O0YS280F,1.4552872
59,7,O0YS280F,A0ANQ4FMR,1.4552872
7,38,A0ANQ4FMR,Q9755NF8,1.3011365
38,7,Q9755NF8,A0ANQ4FMR,1.3011365
7,74,A0ANQ4FMR,A0AXEQBNN,1.3011365
74,7,A0AXEQBNN,A0ANQ4FMR,1.3011365
7,109,A0ANQ4FMR,O0DJE15A,1.3011365
109,7,O0DJE15A,A0ANQ4FMR,1.3011365
7,112,A0ANQ4FMR,Q9ZLAOIH,1.3011365
112,7,Q9ZLAOIH,A0ANQ4FMR,1.3011365
7,211,A0ANQ4FMR,P0BXK5BV,1.2321436
211,7,P0BXK5BV,A0ANQ4FMR,1.2321436
7,52,A0ANQ4FMR,P07E8G8Q,1.1676052
52,7,P07E8G8Q,A0ANQ4FMR,1.1676052
7,40,A0ANQ4FMR,A0A7EEDTR,1.0498221
40,7,A0A7EEDTR,A0ANQ4FMR,1.0498221
7,31,A0ANQ4FMR,O0J2QP89,1.0498221
31,7,O0J2QP89,A0ANQ4FMR,1.0498221
7,48,A0ANQ4FMR,A0AG72OYP,1.0498221
48,7,A0AG72OYP,A0ANQ4FMR,1.0498221
7,54,A0ANQ4FMR,A0ANUJZA8,1.0498221
54,7,A0ANUJZA8,A0ANQ4FMR,1.0498221
8,211,A0AVG0FN9,P0BXK5BV,1.974081
211,8,P0BXK5BV,A0AVG0FN9,1.974081
8,116,A0AVG0FN9,P03KKV95,1.7917595
116,8,P03KKV95,A0AVG0FN9,1.7917595
8,147,A0AVG0FN9,Q9C1HH5V,1.7917595
147,8,Q9C1HH5V,A0AVG0FN9,1.7917595
8,50,A0AVG0FN9,O0M35IXZ,1.5686159
50,8,O0M35IXZ,A0AVG0FN9,1.5686159
8,31,A0AVG0FN9,O0J2QP89,1.3862944
31,8,O0J2QP89,A0AVG0FN9,1.3862944
8,86,A0AVG0FN9,O04GH2MR,1.3862944
86,8,O04GH2MR,A0AVG0FN9,1.3862944
8,117,A0AVG0FN9,Q9QRL1NU,1.3862944
117,8,Q9QRL1NU,A0AVG0FN9,1.3862944
8,96,A0AVG0FN9,Q9FUK9E0,1.3862944
96,8,Q9FUK9E0,A0AVG0FN9,1.3862944
8,11,A0AVG0FN9,O05XFF08,1.2321436
11,8,O05XFF08,A0AVG0FN9,1.2321436
8,17,A0AVG0FN9,A0A5KXVFK,1.2321436
17,8,A0A5KXVFK,A0AVG0FN9,1.2321436
8,79,A0AVG0FN9,A0A2FLU7Y,1.2321436
79,8,A0A2FLU7Y,A0AVG0FN9,1.2321436
8,178,A0AVG0FN9,O011Q7UU,1.2321436
178,8,O011Q7UU,A0AVG0FN9,1.2321436
8,127,A0AVG0FN9,Q9C5WI6J,1.1856236
127,8,Q9C5WI6J,A0AVG0FN9,1.1856236
9,73,Q9Y41IBU,Q9479T6B,1.609438
73,9,Q9479T6B,Q9Y41IBU,1.609438
9,156,Q9Y41IBU,Q9P5O3OG,1.5606477
156,9,Q9P5O3OG,Q9Y41IBU,1.5606477
9,40,Q9Y41IBU,A0A7EEDTR,1.4916549
40,9,A0A7EEDTR,Q9Y41IBU,1.4916549
9,55,Q9Y41IBU,Q9NCXLLH,1.4916549
55,9,Q9NCXLLH,Q9Y41IBU,1.4916549
9,22,Q9Y41IBU,O06QICA9,1.4271164
22,9,O06QICA9,Q9Y41IBU,1.4271164
9,137,Q9Y41IBU,A0AQC1IYZ,1.3375041
137,9,A0AQC1IYZ,Q9Y41IBU,1.3375041
9,35,Q9Y41IBU,A0AWPVS7N,1.3093333
35,9,A0AWPVS7N,Q9Y41IBU,1.3093333
9,119,Q9Y41IBU,O0Z3NX3J,1.3093333
119,9,O0Z3NX3J,Q9Y41IBU,1.3093333
9,141,Q9Y41IBU,O0EBB9EP,1.2039728
141,9,O0EBB9EP,Q9Y41IBU,1.2039728
9,101,Q9Y41IBU,P02WX7P8,1.2039728
101,9,P02WX7P8,Q9Y41IBU,1.2039728
9,132,Q9Y41IBU,O0361I2O,1.1086626
132,9,O0361I2O,Q9Y41IBU,1.1086626
9,186,Q9Y41IBU,A0ALUNJ4J,1.0861897
186,9,A0ALUNJ4J,Q9Y41IBU,1.0861897
9,195,Q9Y41IBU,O0832EJ4,1.0861897
195,9,O0832EJ4,Q9Y41IBU,1.0861897
9,57,Q9Y41IBU,O0XN0GUZ,1.0704414
57,9,O0XN0GUZ,Q9Y41IBU,1.0704414
10,56,O0JH75L5,P0SYLZTM,1.7917595
56,10,P0SYLZTM,O0JH75L5,1.7917595
10,133,O0JH75L5,Q9WYZX4G,1.7917595
133,10,Q9WYZX4G,O0JH75L5,1.7917595
10,157,O0JH75L5,P0PXNF7E,1.7917595
157,10,P0PXNF7E,O0JH75L5,1.7917595
10,78,O0JH75L5,O0YUHZ1K,1.7917595
78,10,O0YUHZ1K,O0JH75L5,1.7917595
10,97,O0JH75L5,Q91N6KV1,1.6739764
97,10,Q91N6KV1,O0JH75L5,1.6739764
10,61,O0JH75L5,Q93FB9WE,1.6376088
61,10,Q93FB9WE,O0JH75L5,1.6376088
10,122,O0JH75L5,A0AQ8MYXV,1.4733057
122,10,A0AQ8MYXV,O0JH75L5,1.4733057
10,125,O0JH75L5,A0APY6B2S,1.3862944
125,10,A0APY6B2S,O0JH75L5,1.3862944
10,39,O0JH75L5,P0W9XA3T,1.3862944
39,10,P0W9XA3T,O0JH75L5,1.3862944
10,85,O0JH75L5,P05IQVNB,1.3862944
85,10,P05IQVNB,O0JH75L5,1.3862944
10,115,O0JH75L5,Q95J2O76,1.3862944
115,10,Q95J2O76,O0JH75L5,1.3862944
10,130,O0JH75L5,O04HNRIW,1.3862944
130,10,O04HNRIW,O0JH75L5,1.3862944
10,33,O0JH75L5,A0ABR7TC6,1.2809339
33,10,A0ABR7TC6,O0JH75L5,1.2809339
10,84,O0JH75L5,O0Q3VLIF,1.2809339
84,10,O0Q3VLIF,O0JH75L5,1.2809339
10,213,O0JH75L5,P09RR7SF,1.2809339
213,10,P09RR7SF,O0JH75L5,1.2809339
11,100,O05XFF08,O0KIZZQO,1.8607523
100,11,O0KIZZQO,O05XFF08,1.8607523
11,34,O05XFF08,A0A4CC5OP,1.6784308
34,11,A0A4CC5OP,O05XFF08,1.6784308
11,15,O05XFF08,A0AYTJXE1,1.6376088
15,11,A0AYTJXE1,O05XFF08,1.6376088
11,80,O05XFF08,O07HV3IT,1.5606477
80,11,O07HV3IT,O05XFF08,1.5606477
11,150,O05XFF08,P0AJEPEE,1.4552872
150,11,P0AJEPEE,O05XFF08,1.4552872
11,160,O05XFF08,A0A8VMUH4,1.4552872
160,11,A0A8VMUH4,O05XFF08,1.4552872
11,152,O05XFF08,P0Q8CROG,1.3375041
152,11,P0Q8CROG,O05XFF08,1.3375041
11,172,O05XFF08,O0UZPEAU,1.3375041
172,11,O0UZPEAU,O05XFF08,1.3375041
11,145,O05XFF08,P0CJ883F,1.3011365
145,11,P0CJ883F,O05XFF08,1.3011365
11,178,O05XFF08,O011Q7UU,1.3011365
178,11,O011Q7UU,O05XFF08,1.3011365
11,50,O05XFF08,O0M35IXZ,1.2321436
50,11,O0M35IXZ,O05XFF08,1.2321436
11,211,O05XFF08,P0BXK5BV,1.2321436
211,11,P0BXK5BV,O05XFF08,1.2321436
11,66,O05XFF08,O03T60RQ,1.2321436
66,11,O03T60RQ,O05XFF08,1.2321436
12,136,P00PVN9I,P03J3R3V,1.6376088
136,12,P03J3R3V,P00PVN9I,1.6376088
12,40,P00PVN9I,A0A7EEDTR,1.3862944
40,12,A0A7EEDTR,P00PVN9I,1.3862944
12,20,P00PVN9I,Q9ERTJ51,1.3862944
20,12,Q9ERTJ51,P00PVN9I,1.3862944
12,109,P00PVN9I,O0DJE15A,1.2321436
109,12,O0DJE15A,P00PVN9I,1.2321436
12,13,P00PVN9I,O0DBDW21,1.0986123
13,12,O0DBDW21,P00PVN9I,1.0986123
12,133,P00PVN9I,Q9WYZX4G,1.0986123
133,12,Q9WYZX4G,P00PVN9I,1.0986123
12,203,P00PVN9I,A0AD6VASP,1.0986123
203,12,A0AD6VASP,P00PVN9I,1.0986123
12,173,P00PVN9I,Q92W37DG,1.0986123
173,12,Q92W37DG,P00PVN9I,1.0986123
12,188,P00PVN9I,Q9V7LN2I,1.0986123
188,12,Q9V7LN2I,P00PVN9I,1.0986123
12,214,P00PVN9I,O0CV3TLF,1.0986123
214,12,O0CV3TLF,P00PVN9I,1.0986123
12,16,P00PVN9I,Q9Q85JSL,0.98082924
16,12,Q9Q85JSL,P00PVN9I,0.98082924
12,28,P00PVN9I,P0Q5C34G,0.98082924
28,12,P0Q5C34G,P00PVN9I,0.98082924
12,111,P00PVN9I,Q9JEK5RB,0.98082924
111,12,Q9JEK5RB,P00PVN9I,0.98082924
12,18,P00PVN9I,A0AVREN9T,0.87546873
18,12,A0AVREN9T,P00PVN9I,0.87546873
13,175,O0DBDW21,P02CWTGW,1.609438
175,13,P02CWTGW,O0DBDW21,1.609438
13,75,O0DBDW21,O0L1N13Q,1.4552872
75,13,O0L1N13Q,O0DBDW21,1.4552872
13,73,O0DBDW21,Q9479T6B,1.3217559
73,13,Q9479T6B,O0DBDW21,1.3217559
13,100,O0DBDW21,O0KIZZQO,1.3217559
100,13,O0KIZZQO,O0DBDW21,1.3217559
13,69,O0DBDW21,Q9NFHOL3,1.3217559
69,13,Q9NFHOL3,O0DBDW21,1.3217559
13,170,O0DBDW21,A0ARPETI9,1.3217559
170,13,A0ARPETI9,O0DBDW21,1.3217559
13,210,O0DBDW21,Q95LLO34,1.3217559
210,13,Q95LLO34,O0DBDW21,1.3217559
13,80,O0DBDW21,O07HV3IT,1.2039728
80,13,O07HV3IT,O0DBDW21,1.2039728
13,152,O0DBDW21,P0Q8CROG,1.2039728
152,13,P0Q8CROG,O0DBDW21,1.2039728
13,182,O0DBDW21,O06UGVSD,1.2039728
182,13,O06UGVSD,O0DBDW21,1.2039728
13,186,O0DBDW21,A0ALUNJ4J,1.2039728
186,13,A0ALUNJ4J,O0DBDW21,1.2039728
8,13,A0AVG0FN9,O0DBDW21,1.0986123
13,8,O0DBDW21,A0AVG0FN9,1.0986123
13,15,O0DBDW21,A0AYTJXE1,1.0986123
15,13,A0AYTJXE1,O0DBDW21,1.0986123
13,18,O0DBDW21,A0AVREN9T,1.0986123
18,13,A0AVREN9T,O0DBDW21,1.0986123
14,107,A0ANVQJTA,O08QOLDK,1.4552872
107,14,O08QOLDK,A0ANVQJTA,1.4552872
14,128,A0ANVQJTA,Q9QJJA2S,1.4552872
128,14,Q9QJJA2S,A0ANVQJTA,1.4552872
14,133,A0ANVQJTA,Q9WYZX4G,1.3217559
133,14,Q9WYZX4G,A0ANVQJTA,1.3217559
14,157,A0ANVQJTA,P0PXNF7E,1.3217559
157,14,P0PXNF7E,A0ANVQJTA,1.3217559
14,28,A0ANVQJTA,P0Q5C34G,1.2039728
28,14,P0Q5C34G,A0ANVQJTA,1.2039728
14,97,A0ANVQJTA,Q91N6KV1,1.2039728
97,14,Q91N6KV1,A0ANVQJTA,1.2039728
14,115,A0ANVQJTA,Q95J2O76,1.2039728
115,14,Q95J2O76,A0ANVQJTA,1.2039728
14,158,A0ANVQJTA,A0A3DD039,1.2039728
158,14,A0A3DD039,A0ANVQJTA,1.2039728
14,112,A0ANVQJTA,Q9ZLAOIH,1.1676052
112,14,Q9ZLAOIH,A0ANVQJTA,1.1676052
14,155,A0ANVQJTA,O0SP2EX9,1.1676052
155,14,O0SP2EX9,A0ANVQJTA,1.1676052
14,59,A0ANVQJTA,O0YS280F,1.0340737
59,14,O0YS280F,A0ANVQJTA,1.0340737
14,129,A0ANVQJTA,Q9C89K8Q,1.0340737
129,14,Q9C89K8Q,A0ANVQJTA,1.0340737
14,173,A0ANVQJTA,Q92W37DG,1.0340737
173,14,Q92W37DG,A0ANVQJTA,1.0340737
14,91,A0ANVQJTA,A0A08YG0R,0.91629076
91,14,A0A08YG0R,A0ANVQJTA,0.91629076
14,78,A0ANVQJTA,O0YUHZ1K,0.91629076
78,14,O0YUHZ1K,A0ANVQJTA,0.91629076
15,23,A0AYTJXE1,Q9VAZCCC,1.7917595
23,15,Q9VAZCCC,A0AYTJXE1,1.7917595
15,73,A0AYTJXE1,Q9479T6B,1.7917595
73,15,Q9479T6B,A0AYTJXE1,1.7917595
15,100,A0AYTJXE1,O0KIZZQO,1.7917595
100,15,O0KIZZQO,A0AYTJXE1,1.7917595
15,34,A0AYTJXE1,A0A4CC5OP,1.7917595
34,15,A0A4CC5OP,A0AYTJXE1,1.7917595
15,47,A0AYTJXE1,Q97IF2G0,1.7917595
47,15,Q97IF2G0,A0AYTJXE1,1.7917595
15,102,A0AYTJXE1,Q9X63CFT,1.7917595
102,15,Q9X63CFT,A0AYTJXE1,1.7917595
15,27,A0AYTJXE1,P02DGTFL,1.5040774
27,15,P02DGTFL,A0AYTJXE1,1.5040774
15,150,A0AYTJXE1,P0AJEPEE,1.5040774
150,15,P0AJEPEE,A0AYTJXE1,1.5040774
15,91,A0AYTJXE1,A0A08YG0R,1.3862944
91,15,A0A08YG0R,A0AYTJXE1,1.3862944
15,30,A0AYTJXE1,Q9OR56FA,1.3862944
30,15,Q9OR56FA,A0AYTJXE1,1.3862944
15,165,A0AYTJXE1,Q9NQFLLF,1.3862944
165,15,Q9NQFLLF,A0AYTJXE1,1.3862944
15,124,A0AYTJXE1,Q9W790PG,1.3862944
124,15,Q9W790PG,A0AYTJXE1,1.3862944
15,152,A0AYTJXE1,P0Q8CROG,1.3862944
152,15,P0Q8CROG,A0AYTJXE1,1.3862944
16,214,Q9Q85JSL,O0CV3TLF,1.7635885
214,16,O0CV3TLF,Q9Q85JSL,1.7635885
16,131,Q9Q85JSL,P09K9XJD,1.5606477
131,16,P09K9XJD,Q9Q85JSL,1.5606477
16,84,Q9Q85JSL,O0Q3VLIF,1.3862944
84,16,O0Q3VLIF,Q9Q85JSL,1.3862944
16,98,Q9Q85JSL,P0UC8D1N,1.3375041
98,16,P0UC8D1N,Q9Q85JSL,1.3375041
16,56,Q9Q85JSL,P0SYLZTM,1.2039728
56,16,P0SYLZTM,Q9Q85JSL,1.2039728
16,157,Q9Q85JSL,P0PXNF7E,1.2039728
157,16,P0PXNF7E,Q9Q85JSL,1.2039728
16,20,Q9Q85JSL,Q9ERTJ51,1.2039728
20,16,Q9ERTJ51,Q9Q85JSL,1.2039728
16,48,Q9Q85JSL,A0AG72OYP,1.2039728
48,16,A0AG72OYP,Q9Q85JSL,1.2039728
16,114,Q9Q85JSL,O049ITN6,1.2039728
114,16,O049ITN6,Q9Q85JSL,1.2039728
16,173,Q9Q85JSL,Q92W37DG,1.2039728
173,16,Q92W37DG,Q9Q85JSL,1.2039728
16,122,Q9Q85JSL,A0AQ8MYXV,1.1086626
122,16,A0AQ8MYXV,Q9Q85JSL,1.1086626
16,74,Q9Q85JSL,A0AXEQBNN,1.0498221
74,16,A0AXEQBNN,Q9Q85JSL,1.0498221
16,79,Q9Q85JSL,A0A2FLU7Y,1.0498221
